OBJECTID,ID,Xindex,Yindex,Qerror,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,topic40,topic41,topic42,topic43,topic44,topic45,topic46,topic47,topic48,topic49,topic50,topic51,topic52,topic53,topic54,topic55,topic56,topic57,topic58,topic59,topic60,topic61,topic62,topic63,topic64,topic65,topic66,topic67,topic68,topic69,topic70,identifier,identifi_1,title,year,author,degree_gra,degree_sup,language,x,y
383,899,24,13,0.281102,0.000125,0.000232,0.000143,0.000164,9.7E-05,0.000105,0.000169,0.251402,0.152683,0.000277,0.000106,0.000106,7.9E-05,0.034971,0.000239,0.000177,9.5E-05,0.000353,6.6E-05,0.00742,0.000144,0.000145,0.000132,6.6E-05,8.5E-05,0.00137,0.000313,0.000101,0.000168,2.4E-05,0.00042,0.04371,0.000179,7.8E-05,6.4E-05,9.9E-05,0.111097,0.067696,0.319075,0.00015,9E-05,6.7E-05,0.000186,0.000124,7.6E-05,0.000118,0.000112,0.000142,0.000519,0.00026,7.8E-05,4.7E-05,6E-05,8.1E-05,0.000702,9.5E-05,7.9E-05,0.000133,0.00011,0.000207,0.000203,0.000431,0.000142,0.000171,0.000143,0.000166,7.3E-05,0.000124,0.000122,0.00085,0.000162,f3qj7ffp,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3qj7ffp,The Impact of Stress on Category Learning and Consolidation Within the Explicit and Procedural Systems,2013,"Waldschmidt, Jennifer G.","University of California, Santa Barbara. Psychology",F. Gregory Ashby,English,0.00022147693835237,0.000101790799800802
384,900,31,11,0.180364,9.8E-05,0.000181,0.005511,0.000128,7.6E-05,8.1E-05,0.000131,0.006768,9.6E-05,0.000216,8.3E-05,8.2E-05,6.2E-05,0.005632,0.000186,0.048733,7.4E-05,0.000274,5.1E-05,0.038174,0.000112,0.000113,0.000103,5.1E-05,6.6E-05,0.535609,0.000244,7.9E-05,0.000131,1.8E-05,0.000327,0.06643,0.000139,6.1E-05,5E-05,7.7E-05,0.02171,0.263287,6.6E-05,0.000117,7E-05,5.2E-05,0.000145,9.7E-05,5.9E-05,9.2E-05,8.8E-05,0.00011,0.000404,0.000203,6E-05,3.7E-05,4.7E-05,6.3E-05,0.000547,7.4E-05,6.2E-05,0.000104,8.5E-05,0.000161,0.000158,0.000336,0.000111,0.000133,0.000111,0.000129,5.7E-05,9.7E-05,9.5E-05,0.000662,0.000126,f3bk19bb,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3bk19bb,Novel Methods of Augmenting High Performance Processors with Security Hardware,2013,"Valamehr, Jonathan Kaveh","University of California, Santa Barbara. Electrical and Computer Engineering",Timothy P. Sherwood,English,0.000281111598500156,8.72713298507638E-05
385,905,41,20,0.233819,9.1E-05,0.000168,0.000103,0.000119,0.210908,7.6E-05,0.000122,0.001272,8.9E-05,0.010241,7.7E-05,7.6E-05,0.010097,0.000216,0.000173,0.000128,6.9E-05,0.000255,4.8E-05,0.000352,0.000104,0.276202,9.6E-05,4.8E-05,6.2E-05,0.282109,0.000227,7.3E-05,0.000122,1.7E-05,0.000304,0.046702,0.000129,5.6E-05,4.6E-05,7.1E-05,0.000104,0.094185,6.2E-05,0.000109,6.5E-05,4.8E-05,0.035274,0.01515,5.5E-05,8.6E-05,8.1E-05,0.000103,0.000376,0.010228,5.6E-05,3.4E-05,4.4E-05,5.9E-05,0.000508,6.9E-05,5.7E-05,9.6E-05,7.9E-05,0.00015,0.000147,0.000312,0.000103,0.000124,0.000103,0.00012,5.3E-05,9E-05,8.9E-05,0.000615,0.000117,f3wm1bch,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3wm1bch,Photonic Crystal Microcavities for Quantum Information Science,2013,"Hagemeier, Jenna Nicole","University of California, Santa Barbara. Physics",Dirk Bouwmeester,English,0.000369017138935139,0.000155117489997471
386,910,41,33,0.0995959,8.2E-05,0.000152,9.3E-05,0.000107,6.4E-05,6.8E-05,0.00011,0.001151,8E-05,0.004723,6.9E-05,6.9E-05,5.2E-05,0.000196,0.000157,0.000116,6.2E-05,0.000231,4.3E-05,0.000318,9.5E-05,0.050048,8.6E-05,4.3E-05,5.6E-05,0.037227,0.004746,6.6E-05,0.00011,1.6E-05,0.000275,0.192108,0.000117,5.1E-05,4.2E-05,6.5E-05,9.5E-05,0.089744,5.6E-05,0.00464,5.9E-05,4.4E-05,0.000122,0.59044,5E-05,7.8E-05,7.4E-05,9.3E-05,0.018505,0.00017,5.1E-05,3.1E-05,3.9E-05,5.3E-05,0.00046,6.2E-05,5.2E-05,8.7E-05,7.2E-05,0.000136,0.000133,0.000283,9.3E-05,0.000112,9.3E-05,0.000108,4.8E-05,8.1E-05,8E-05,0.000557,0.000106,f3h1304q,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3h1304q,Stress Engineering for Semipolar (2021) Blue and Green InGaN Based Laser Diodes,2013,"Hardy, Matthew Thomas","University of California, Santa Barbara. Materials",Steven P. DenBaars,English,0.00037232383748415,0.000257442787368546
387,915,13,9,0.187531,0.000114,0.12663,0.00013,0.000149,8.9E-05,9.5E-05,0.000154,0.001602,0.000112,0.000253,9.7E-05,9.6E-05,7.2E-05,0.000272,0.000218,0.000161,8.6E-05,0.000321,0.227613,0.000443,0.000132,0.000132,0.00012,6E-05,7.8E-05,0.001249,0.000285,9.2E-05,0.000153,2.2E-05,0.000383,0.001917,0.000163,7.1E-05,5.8E-05,9E-05,0.000132,0.080668,7.8E-05,0.000137,8.2E-05,6.1E-05,0.000169,0.000113,6.9E-05,0.000108,0.000103,0.000129,0.000473,0.000237,7.1E-05,4.3E-05,5.5E-05,7.4E-05,0.215551,8.6E-05,7.2E-05,0.000121,0.012742,0.132928,0.000185,0.000393,0.00013,0.000156,0.063339,0.031756,6.7E-05,0.000113,0.000111,0.095589,0.000148,f3dj5cqw,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3dj5cqw,"Holy City under a Curse: Memory, History, and their Appropriation in Late Antique Jerusalem",2013,"Turtledove, Alison Ruth","University of California, Santa Barbara. History",Elizabeth DePalma Digeser,English,0.00011963673120828,6.88576631482772E-05
388,916,30,41,0.113145,0.000231,0.000428,0.000263,0.000302,0.000179,0.000193,0.639656,0.003241,0.000227,0.000511,0.000196,0.000195,0.000146,0.000551,0.000442,0.000326,0.000175,0.00065,0.000121,0.000896,0.000266,0.000267,0.000243,0.000121,0.000157,0.130395,0.000577,0.000186,0.00031,4.4E-05,0.000775,0.003877,0.00033,0.000144,0.000117,0.000182,0.000266,0.188762,0.000157,0.000277,0.000165,0.000123,0.000343,0.000229,0.000141,0.000218,0.000207,0.000261,0.013743,0.00048,0.000143,8.7E-05,0.000111,0.00015,0.001295,0.000175,0.000146,0.000245,0.000202,0.000382,0.000375,0.000796,0.000263,0.000315,0.000263,0.000305,0.000135,0.000229,0.000225,0.001567,0.000299,f3n877rv,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3n877rv,A Synthetic Approach Towards Paecilospirone,2013,"Burnett, Leslie G., IV","University of California, Santa Barbara. Chemistry",Thomas R. R. Pettus,English,0.000273240559965548,0.000321298631041665
389,924,28,14,0.187813,7.2E-05,0.000134,8.2E-05,9.4E-05,5.6E-05,6E-05,9.7E-05,0.076951,7.1E-05,0.00016,6.1E-05,6.1E-05,4.6E-05,0.000172,0.000138,0.000102,5.5E-05,0.000203,3.8E-05,0.00028,8.3E-05,0.00408,7.6E-05,3.8E-05,4.9E-05,0.144672,0.008174,5.8E-05,9.7E-05,1.4E-05,0.000242,0.017199,0.000103,4.5E-05,3.7E-05,5.7E-05,8.3E-05,0.3028,4.9E-05,8.7E-05,5.2E-05,3.8E-05,0.000107,7.2E-05,4.4E-05,6.8E-05,0.143947,8.2E-05,0.04826,0.00015,4.5E-05,2.7E-05,3.5E-05,4.7E-05,0.000405,5.5E-05,4.6E-05,7.7E-05,6.3E-05,0.00012,0.17997,0.000249,8.2E-05,0.060049,8.2E-05,9.5E-05,0.008036,7.2E-05,7E-05,0.00049,9.3E-05,f32j68vq,https://www.alexandria.ucsb.edu/lib/ark:/48907/f32j68vq,Applications of data-mining in production test: Tools and methodologies,2013,"Sumikawa, Nikolas","University of California, Santa Barbara. Electrical and Computer Engineering",Li C. Wang,English,0.00024898784392853,0.000108327840108323
390,925,41,33,0.234371,0.000134,0.000248,0.000152,0.000175,0.000104,0.000112,0.00018,0.001874,0.000131,0.000296,0.000113,0.000113,8.4E-05,0.000318,0.000255,0.000189,0.000101,0.000376,7E-05,0.000518,0.000154,0.000154,0.000141,7E-05,9.1E-05,0.001461,0.000334,0.000108,0.000179,2.5E-05,0.000448,0.179751,0.000191,8.3E-05,6.8E-05,0.000105,0.000154,0.064806,9.1E-05,0.00016,9.6E-05,7.1E-05,0.000198,0.73975,8.1E-05,0.000126,0.00012,0.000151,0.000553,0.000278,8.3E-05,5.1E-05,6.4E-05,8.7E-05,0.000749,0.000101,8.5E-05,0.000142,0.000117,0.000221,0.000217,0.00046,0.000152,0.000182,0.000152,0.000177,7.8E-05,0.000132,0.00013,0.000907,0.000173,f3tb151k,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3tb151k,Stress-Relaxation in III-Nitride Based Semipolar Lasers,2013,"Hsu, Po Shan","University of California, Santa Barbara. Materials",Shuji Nakamura,English,0.00037070417505087,0.000257124783768886
391,926,40,21,0.107062,8.6E-05,0.000159,9.8E-05,0.000112,0.318803,7.2E-05,0.000116,0.029749,8.4E-05,0.00019,7.3E-05,7.2E-05,5.4E-05,0.000205,0.000164,0.000121,6.5E-05,0.000242,4.5E-05,0.000333,9.9E-05,0.147574,9.1E-05,4.5E-05,5.8E-05,0.005697,0.000215,6.9E-05,0.000115,1.6E-05,0.000288,0.163189,0.023909,5.3E-05,4.4E-05,6.8E-05,9.9E-05,0.151101,5.8E-05,0.061947,0.014333,4.6E-05,0.038186,8.5E-05,5.2E-05,8.1E-05,7.7E-05,9.7E-05,0.033657,0.000179,5.3E-05,3.3E-05,4.1E-05,5.6E-05,0.000482,6.5E-05,0.004812,9.1E-05,7.5E-05,0.000142,0.000139,0.000296,9.8E-05,0.000117,9.8E-05,0.000114,5E-05,8.5E-05,8.4E-05,0.000583,0.000111,f34t6gbv,https://www.alexandria.ucsb.edu/lib/ark:/48907/f34t6gbv,Coherent light-matter interactions of defect spins in solids,2013,"Buckley, Bob B.","University of California, Santa Barbara. Physics",David D. Awschalom,English,0.000365797576971258,0.000161946482795479
392,927,39,40,0.260062,0.000291,0.000538,0.000331,0.257594,0.000225,0.000242,0.048619,0.004074,0.000285,0.354312,0.000246,0.000245,0.000183,0.000692,0.000555,0.00041,0.000219,0.000817,0.000152,0.001126,0.000335,0.000335,0.000306,0.000152,0.000197,0.019252,0.000726,0.000234,0.000389,5.5E-05,0.000975,0.149558,0.000414,0.000181,0.000147,0.000229,0.000335,0.140859,0.000197,0.000348,0.000208,0.000155,0.000431,0.000288,0.000177,0.000275,0.000261,0.000328,0.001203,0.000603,0.00018,0.00011,0.00014,0.000189,0.001628,0.00022,0.000184,0.000308,0.000254,0.000481,0.000471,0.001,0.00033,0.000396,0.00033,0.000384,0.00017,0.000288,0.000283,0.001971,0.000375,f3hx19tm,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3hx19tm,Biomimetic Synthesis of Zinc Oxide Thin Films,2013,"Murphy, Kristen Elizabeth","University of California, Santa Barbara. Chemistry",Galen D. Stucky,English,0.00035046962326403,0.000312655041381073
393,928,41,33,0.131049,9.9E-05,0.000183,0.000112,0.000129,7.7E-05,8.2E-05,0.000133,0.017758,9.7E-05,0.049343,8.3E-05,8.3E-05,6.2E-05,0.000235,0.000188,0.000139,7.5E-05,0.000277,5.2E-05,0.000382,0.000114,0.038322,0.000104,5.2E-05,6.7E-05,0.017453,0.000246,8E-05,0.000132,1.9E-05,0.000331,0.263657,0.000141,6.1E-05,5E-05,7.8E-05,0.000114,0.015077,6.7E-05,0.000118,7.1E-05,5.2E-05,0.000146,0.540476,6E-05,9.3E-05,8.9E-05,0.000111,0.000408,0.000205,6.1E-05,3.7E-05,4.7E-05,6.4E-05,0.000553,7.5E-05,6.2E-05,0.000105,8.6E-05,0.000163,0.00016,0.00034,0.000112,0.000135,0.000112,0.00013,5.8E-05,0.038306,9.6E-05,0.011586,0.000127,f3028pn9,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3028pn9,Embedded Photonic Crystals in Gallium Nitride: MOCVD Growth and LED Design,2013,"Jewell, Jason Michael","University of California, Santa Barbara. Materials","James S. Speck, Claude Weisbuch",English,0.000375283786353623,0.000255720716976368
394,933,41,41,0.0986192,7.4E-05,0.000137,8.4E-05,9.7E-05,5.7E-05,6.2E-05,0.0001,0.009228,7.3E-05,0.552978,6.3E-05,6.2E-05,4.7E-05,0.000176,0.000141,0.000105,5.6E-05,0.000208,3.9E-05,0.000287,8.5E-05,8.5E-05,7.8E-05,3.9E-05,5E-05,0.086802,0.000185,6E-05,9.9E-05,1.4E-05,0.000248,0.226462,0.000106,4.6E-05,3.8E-05,5.8E-05,8.5E-05,0.113684,5E-05,8.9E-05,5.3E-05,3.9E-05,0.00011,7.3E-05,4.5E-05,7E-05,6.6E-05,8.4E-05,0.000306,0.000154,4.6E-05,2.8E-05,3.6E-05,4.8E-05,0.000415,5.6E-05,4.7E-05,7.9E-05,6.5E-05,0.000122,0.00012,0.00435,8.4E-05,0.000101,8.4E-05,9.8E-05,4.3E-05,7.3E-05,7.2E-05,0.000502,9.6E-05,f3fj2dwq,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3fj2dwq,Structural order in additive processed bulk heterojunction organic solar cells,2013,"Rogers, James Thomas","University of California, Santa Barbara. Materials",Edward J. Kramer,English,0.000375474229204993,0.000318633329589986
395,935,0,35,0.193607,0.00011,0.000204,0.000125,0.000144,8.5E-05,9.2E-05,0.000148,0.36085,0.061007,0.000243,9.3E-05,9.3E-05,6.9E-05,0.134241,0.00021,0.000155,8.3E-05,0.00031,5.8E-05,0.000427,0.322894,0.000127,0.000116,5.8E-05,7.5E-05,0.001203,0.000275,8.9E-05,0.000147,2.1E-05,0.000369,0.020117,0.000157,6.8E-05,5.6E-05,8.7E-05,0.000127,0.047271,7.5E-05,0.000132,7.9E-05,5.9E-05,0.000163,0.000109,6.7E-05,0.000104,9.9E-05,0.000124,0.000456,0.000229,6.8E-05,4.2E-05,5.3E-05,7.1E-05,0.000617,8.3E-05,7E-05,0.000117,0.030546,0.000182,0.000178,0.012559,0.000125,0.00015,0.000125,0.000145,6.4E-05,0.000109,0.000107,0.000747,0.000142,f3rj4gf8,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3rj4gf8,Examining and Predicting Longitudinal Trajectories of Behavioral and Emotional Risk in Students,2013,"Chin, Jenna K.","University of California, Santa Barbara. Psychology",Erin Dowdy,English,3.08840795440613E-06,0.000272636892112789
396,940,34,28,0.177751,0.000192,0.000356,0.000218,0.000251,0.000149,0.00016,0.000258,0.00269,0.000188,0.000424,0.000162,0.000162,0.000121,0.000457,0.000367,0.000271,0.244293,0.00054,0.000101,0.000744,0.000221,0.000221,0.000202,0.000101,0.00013,0.097633,0.000479,0.000155,0.000257,3.6E-05,0.000644,0.151831,0.000274,0.000119,9.7E-05,0.000151,0.000221,0.071781,0.00013,0.00023,0.000137,0.000102,0.000285,0.00019,0.000117,0.000181,0.000172,0.000217,0.414785,0.000398,0.000119,7.3E-05,9.2E-05,0.000125,0.001075,0.000145,0.000121,0.000204,0.000168,0.000318,0.000311,0.00066,0.000218,0.000262,0.000218,0.000254,0.000112,0.00019,0.000187,0.001301,0.000248,f3028pg2,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3028pg2,A hierarchical polymeric composite for energy dissipation,2013,"Bernal Ostos, Juliana","University of California, Santa Barbara. Materials",Galen D. Stucky,English,0.000307339709854503,0.000218799958797848
397,941,35,41,0.250109,8.7E-05,0.000161,9.9E-05,0.000113,0.067309,7.2E-05,0.009723,0.001217,8.5E-05,0.000192,7.3E-05,7.3E-05,5.5E-05,0.000207,0.000166,0.000123,6.6E-05,0.000244,4.6E-05,0.000336,0.0001,0.0001,9.1E-05,4.6E-05,5.9E-05,0.000949,0.000217,7E-05,0.000116,1.6E-05,0.000291,0.155151,0.000124,5.4E-05,4.4E-05,6.8E-05,0.0001,0.008463,0.004862,0.000104,6.2E-05,4.6E-05,0.000129,8.6E-05,5.3E-05,8.2E-05,7.8E-05,9.8E-05,0.000359,0.00018,5.4E-05,3.3E-05,4.2E-05,0.744515,0.000486,6.6E-05,5.5E-05,9.2E-05,7.6E-05,0.000144,0.000141,0.000299,9.9E-05,0.000118,9.9E-05,0.000115,5.1E-05,8.6E-05,8.5E-05,0.000589,0.000112,f3v69gkf,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3v69gkf,High Valent First Row Metals and Metal-Metal Bonds Supported by a Ketimide Ligand,2013,"Lewis, Richard A.","University of California, Santa Barbara. Chemistry",Trevor W. Hayton,English,0.000319265743553569,0.000317329874110651
398,942,41,23,0.114338,8.2E-05,0.000151,9.3E-05,0.000107,0.474736,6.8E-05,0.00011,0.001146,8E-05,0.095115,6.9E-05,6.9E-05,5.2E-05,0.000195,0.000156,0.000115,6.2E-05,0.00023,4.3E-05,0.000317,9.4E-05,9.4E-05,8.6E-05,4.3E-05,5.6E-05,0.000893,0.000204,6.6E-05,0.000109,1.5E-05,0.000274,0.195761,0.040803,5.1E-05,4.1E-05,6.4E-05,9.4E-05,0.066735,5.5E-05,9.8E-05,5.8E-05,4.3E-05,0.000121,0.031726,5E-05,7.7E-05,7.3E-05,9.2E-05,0.059107,0.00017,5.1E-05,3.1E-05,3.9E-05,5.3E-05,0.000458,6.2E-05,5.2E-05,8.7E-05,7.1E-05,0.000135,0.000132,0.000281,0.022696,0.000111,9.3E-05,0.000108,4.8E-05,8.1E-05,8E-05,0.005075,0.000106,f30r9mc5,https://www.alexandria.ucsb.edu/lib/ark:/48907/f30r9mc5,Dynamical conductivity of strongly correlated electron systems at oxide interfaces,2013,"Ouellette, Daniel Gerald","University of California, Santa Barbara. Physics",S. James Allen,English,0.00037067542894368,0.000179930754782029
399,948,2,26,0.203623,9.2E-05,0.000171,0.000105,0.00012,7.1E-05,7.7E-05,0.000124,0.067549,9E-05,0.000204,0.056142,7.8E-05,5.8E-05,0.158217,0.08682,0.035807,7E-05,0.071613,4.8E-05,0.020744,0.000106,0.000106,9.7E-05,4.8E-05,6.3E-05,0.046877,0.00023,7.4E-05,0.000123,1.7E-05,0.000309,0.001546,0.000131,5.7E-05,4.7E-05,7.2E-05,0.0103,0.197559,6.3E-05,0.00011,6.6E-05,4.9E-05,0.000137,9.1E-05,5.6E-05,8.7E-05,8.3E-05,0.000104,0.000381,0.000191,5.7E-05,3.5E-05,4.4E-05,6E-05,0.000516,7E-05,0.15296,9.8E-05,8.1E-05,0.000152,0.000149,0.000317,0.000105,0.000126,0.000105,0.000122,5.4E-05,9.1E-05,9E-05,0.087269,0.000119,f35b00fm,https://www.alexandria.ucsb.edu/lib/ark:/48907/f35b00fm,Power and Politeness in Intercultural Workplace Communication: Some Implications for Teaching English as a Second Language in Thailand,2013,"Yaoharee, Ornkanya","University of California, Santa Barbara. Education",Jenny Cook-Gumperz,English,1.77911342151053E-05,0.000201287302347409
400,950,40,21,0.0878077,7.6E-05,0.000141,8.7E-05,0.004315,0.299378,6.4E-05,0.000103,0.001068,7.5E-05,0.076052,6.4E-05,6.4E-05,4.8E-05,0.000182,0.000146,0.000108,5.8E-05,0.000214,4E-05,0.000295,8.8E-05,0.118129,8E-05,4E-05,5.2E-05,0.127306,0.00019,6.1E-05,0.000102,1.4E-05,0.000256,0.195203,0.000109,4.7E-05,3.9E-05,6E-05,8.8E-05,0.112823,5.2E-05,0.029602,5.4E-05,4.1E-05,0.000113,7.5E-05,4.6E-05,7.2E-05,6.8E-05,8.6E-05,0.012963,0.000158,4.7E-05,2.9E-05,3.7E-05,4.9E-05,0.000427,5.8E-05,4.8E-05,8.1E-05,6.7E-05,0.016989,0.000124,0.000262,8.7E-05,0.000104,8.7E-05,0.000101,4.4E-05,7.5E-05,7.4E-05,0.000517,9.8E-05,f3jm27mp,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3jm27mp,Quantum control and engineering of single spins in diamond,2013,"Toyli, David M.","University of California, Santa Barbara. Physics",David D. Awschalom,English,0.000362180959623525,0.000162957985797049
401,953,20,38,0.159835,5.3E-05,0.023407,6E-05,6.9E-05,4.1E-05,4.4E-05,7.1E-05,0.08815,5.2E-05,0.000116,4.5E-05,4.4E-05,3.3E-05,0.000125,0.000101,0.064176,4E-05,0.000148,2.8E-05,0.000204,0.075817,6.1E-05,5.5E-05,2.8E-05,3.6E-05,0.032626,0.096284,4.2E-05,7.1E-05,1E-05,0.000177,0.094122,7.5E-05,3.3E-05,2.7E-05,4.1E-05,6.1E-05,0.20618,3.6E-05,6.3E-05,3.8E-05,2.8E-05,7.8E-05,5.2E-05,3.2E-05,5E-05,4.7E-05,6E-05,0.000218,0.000109,3.3E-05,2E-05,2.5E-05,3.4E-05,0.000295,4E-05,3.3E-05,5.6E-05,4.6E-05,8.7E-05,8.5E-05,0.000181,6E-05,7.2E-05,6E-05,7E-05,3.1E-05,5.2E-05,5.1E-05,0.000357,0.314749,f3sj1hj6,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3sj1hj6,Measuring and Monitoring Long Term Disaster Recovery Using Remote Sensing: A Case Study of Post Katrina New Orleans,2013,"Archer, Reginald S.","University of California, Santa Barbara. Geography",Keith Clarke,English,0.000179097118185807,0.00029570113701652
402,954,19,35,0.141269,9.1E-05,0.000168,0.000103,0.000119,7E-05,7.6E-05,0.000122,0.187011,8.9E-05,0.000201,7.7E-05,7.6E-05,0.497033,0.000216,0.000173,0.000128,6.9E-05,0.000255,4.8E-05,0.000352,0.000104,0.000105,9.6E-05,4.8E-05,6.2E-05,0.006012,0.000227,7.3E-05,0.000122,1.7E-05,0.000304,0.091881,0.000129,5.6E-05,4.6E-05,7.1E-05,0.000104,0.079125,6.2E-05,0.000109,6.5E-05,4.8E-05,0.000135,0.00511,5.5E-05,8.6E-05,8.1E-05,0.000103,0.000376,0.000188,5.6E-05,3.4E-05,4.4E-05,5.9E-05,0.000508,6.9E-05,5.7E-05,9.6E-05,7.9E-05,0.00015,0.015207,0.000312,0.000103,0.000124,0.000103,0.00012,5.3E-05,9E-05,8.9E-05,0.000615,0.110556,f36h4fjw,https://www.alexandria.ucsb.edu/lib/ark:/48907/f36h4fjw,Himalayan Wintertime Climate Variability: Large-Scale Atmospheric Circulation and Regional Precipitation,2013,"Cannon, Forest Glen","University of California, Santa Barbara. Geography",Leila M. V. Carvalho,English,0.000176176695222085,0.000272280260930967
403,956,28,5,0.170946,9.2E-05,0.000171,0.000105,0.00012,7.1E-05,7.7E-05,0.000124,0.006388,9E-05,0.000204,7.8E-05,7.8E-05,5.8E-05,0.000219,0.000176,0.00013,7E-05,0.000259,4.8E-05,0.01055,0.000106,0.000106,9.7E-05,4.8E-05,6.3E-05,0.102941,0.265259,7.4E-05,0.000123,1.7E-05,0.000309,0.021932,0.000131,5.7E-05,4.7E-05,7.2E-05,0.000106,0.192463,6.3E-05,0.00011,6.6E-05,4.9E-05,0.000137,9.1E-05,5.6E-05,8.7E-05,8.3E-05,0.000104,0.000381,0.331477,5.7E-05,3.5E-05,4.4E-05,6E-05,0.015806,7E-05,5.8E-05,9.8E-05,8.1E-05,0.000152,0.005246,0.041091,0.000105,0.000126,0.000105,0.000122,5.4E-05,9.1E-05,9E-05,0.000625,0.000119,f3w66hsq,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3w66hsq,Towards Querying and Mining of Large-Scale Networks,2013,"Khan, Arijit","University of California, Santa Barbara. Computer Science",Xifeng Yan,English,0.000254287005806471,4.05589350877738E-05
404,961,4,5,0.216602,0.000212,0.082548,0.152815,0.000277,0.000165,0.000177,0.000285,0.002974,0.000208,0.000469,0.000179,0.000179,0.000134,0.000505,0.000405,0.0003,0.00016,0.000597,0.082266,0.000822,0.000244,0.000245,0.000223,0.000111,0.000144,0.002318,0.00053,0.000171,0.000284,4E-05,0.000712,0.003559,0.000303,0.000132,0.000108,0.000167,0.000244,0.161518,0.000144,0.000254,0.000152,0.011849,0.000315,0.00021,0.000129,0.0002,0.00019,0.00024,0.000878,0.012177,0.000131,8E-05,0.000102,0.000138,0.09508,0.00016,0.000134,0.000225,0.000185,0.000351,0.000344,0.00073,0.000241,0.000289,0.082396,0.058962,0.000124,0.00021,0.02368,0.212694,0.000274,f3rv0ksk,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3rv0ksk,"Hidden Channels: Indians, Franciscans, Soldiers, and Resistance in California History (1769--1829)",2013,"Brigidi, Bianca Hennies","University of California, Santa Barbara. History","Ann Marie Plane, Francis A. Dutra",English,3.80544320756697E-05,3.84236396397704E-05
405,967,33,8,0.146986,7.6E-05,0.004321,8.6E-05,9.9E-05,5.9E-05,6.3E-05,0.000102,0.001059,7.4E-05,0.000167,6.4E-05,6.4E-05,4.8E-05,0.00018,0.000144,0.000107,5.7E-05,0.000213,4E-05,0.000293,8.7E-05,8.7E-05,8E-05,0.200704,5.1E-05,0.209852,0.121424,6.1E-05,0.000101,1.4E-05,0.000253,0.001268,0.000108,0.10456,3.8E-05,5.9E-05,8.7E-05,0.254017,5.1E-05,9.1E-05,5.4E-05,4E-05,0.000112,7.5E-05,4.6E-05,0.016793,6.8E-05,8.5E-05,0.029576,0.000157,4.7E-05,2.9E-05,3.6E-05,4.9E-05,0.017145,5.7E-05,4.8E-05,8E-05,6.6E-05,0.000125,0.000123,0.00026,0.020988,0.000103,8.6E-05,0.0001,4.4E-05,7.5E-05,7.4E-05,0.013054,9.8E-05,f38k772k,https://www.alexandria.ucsb.edu/lib/ark:/48907/f38k772k,"Sketch Practically Anywhere: Capturing, Recognizing, and Interacting with Physical Ink Using Commodity Hardware",2013,"Browne, Jeffrey Casper","University of California, Santa Barbara. Computer Science",Timothy Sherwood,English,0.00029477048240028,6.33707533990438E-05
406,969,38,22,0.162196,8.2E-05,0.000152,9.3E-05,0.000107,0.272537,6.8E-05,0.00011,0.001151,8E-05,0.000181,6.9E-05,6.9E-05,5.2E-05,0.000196,0.000157,0.009198,6.2E-05,0.000231,4.3E-05,0.000318,9.5E-05,0.004636,8.6E-05,4.3E-05,5.6E-05,0.128051,0.000205,6.6E-05,0.00011,1.6E-05,0.004817,0.164861,0.000117,5.1E-05,4.2E-05,6.5E-05,9.5E-05,0.235063,5.6E-05,0.127253,0.031847,4.4E-05,0.000122,8.1E-05,5E-05,7.8E-05,7.4E-05,9.3E-05,0.00034,0.00017,5.1E-05,3.1E-05,3.9E-05,5.3E-05,0.00046,6.2E-05,5.2E-05,8.7E-05,7.2E-05,0.000136,0.000133,0.013906,9.3E-05,0.000112,9.3E-05,0.000108,4.8E-05,8.1E-05,8E-05,0.000557,0.000106,f37w699z,https://www.alexandria.ucsb.edu/lib/ark:/48907/f37w699z,High-Field EPR for Studies of Structure in Biological Systems,2013,"Edwards, Devin Thomas","University of California, Santa Barbara. Physics",Mark S. Sherwin,English,0.000343342389792812,0.000172401974383783
